__table_order,__table_file,__table_name,__table_row_no,指标,主样本（n=861）,敏感性样本（n=106）,说明,维度,C1 价格优惠敏感型（n=320，37.17%）,C2 文化深度体验型（n=541，62.83%）,核心问题,统计证据,游客声音,专家意见,建议方向,状态,策略维度,C1 价格优惠敏感型,C2 文化深度体验型,证据来源,假设编号,研究假设,变量,模型,预期方向,证据,结论,备注,值,假设,路径,标准化系数β,p值,象限,含义,归属项目,管理含义,重要度均值,表现度均值,差值(表现-重要),优先级,问题,量化证据,落地动作,时间节点,责任方,KPI,依赖条件,来源,意见维度,数据支撑,对应分析节点,访谈维度,内容框架,与定量结果的关联,年龄编码,年龄段,男,女,合计,占比
7,表7-5_SEM路径系数与显著性.csv,表7-5_SEM路径系数与显著性,7,,,,,,,,,,,,,ready,,,,,,,,,,,中介显著,bootstrap=2000;success=2000;fail=0,,H7,S_service -> O -> R,indirect=-0.1166,"p_boot=0.0000;95%CI=[-0.1837,-0.0644]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,表7-5_SEM路径系数与显著性.csv,表7-5_SEM路径系数与显著性,8,,,,,,,,,,,,,ready,,,,,,,,,,,中介显著,bootstrap=2000;success=2000;fail=0,,H8,S_activity -> O -> R,indirect=-0.0736,"p_boot=0.0000;95%CI=[-0.1135,-0.0381]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,表7-6_IPA四象限归属汇总_均值阈值.csv,表7-6_IPA四象限归属汇总_均值阈值,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q2_优先改进,高重要·低表现,,立即整改，重点资源投入,,,,,,,,,,,,,,,,,,,,,,,,
8,表7-6_IPA四象限归属汇总_均值阈值.csv,表7-6_IPA四象限归属汇总_均值阈值,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q1_保持优势,高重要·高表现,①丰富的中医药文化展示和非遗体验项目、⑥提供个性化中医体质辨识、养生咨询等服务、⑦服务专业度与态度、⑨中医药服务专业度,维持现有水平，防止退化,3.785,3.712,-0.073,,,,,,,,,,,,,,,,,,,,,
8,表7-6_IPA四象限归属汇总_均值阈值.csv,表7-6_IPA四象限归属汇总_均值阈值,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q3_低优先级,低重要·低表现,②环境舒适度与卫生状况、③便捷的交通、充足的停车位、⑤特色美食、文创产品的种类及品质,按需投入，不宜过度资源,3.734,3.636,-0.098,,,,,,,,,,,,,,,,,,,,,
8,表7-6_IPA四象限归属汇总_均值阈值.csv,表7-6_IPA四象限归属汇总_均值阈值,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q4_可能过度投入,低重要·高表现,④亲友推荐/正面评价多、⑧产品价格与优惠力度、⑩线上线下宣传推广,适度削减，资源转移至Q2,3.704,3.714,0.010,,,,,,,,,,,,,,,,,,,,,
9,表7-7_IPA整改行动清单.csv,表7-7_IPA整改行动清单,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P1（立即）,新增项目需求集中于：药膳食疗定制服务,选择率73.40%（632/861）,优先开发该类中医药文旅产品，做小规模A/B试点后扩容。,1-4个月,活动策划部,新项目参与率>=30%,预算审批+跨部门协同,建议落地行动矩阵 + 问题-证据-建议对照表,,,,,,,,,,,,
9,表7-7_IPA整改行动清单.csv,表7-7_IPA整改行动清单,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P2（同步）,新增项目需求集中于：中医药主题文化节、展演活动,选择率57.96%（499/861）,优先开发该类中医药文旅产品，做小规模A/B试点后扩容。,1-4个月,活动策划部,新项目参与率>=30%,预算审批+跨部门协同,建议落地行动矩阵 + 问题-证据-建议对照表,,,,,,,,,,,,
9,表7-7_IPA整改行动清单.csv,表7-7_IPA整改行动清单,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P3（同步）,新增项目需求集中于：非遗中药炮制技艺体验课,选择率54.01%（465/861）,优先开发该类中医药文旅产品，做小规模A/B试点后扩容。,1-4个月,活动策划部,新项目参与率>=30%,预算审批+跨部门协同,建议落地行动矩阵 + 问题-证据-建议对照表,,,,,,,,,,,,
9,表7-7_IPA整改行动清单.csv,表7-7_IPA整改行动清单,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P4（后续）,优惠机制偏好集中于：团购 / 家庭套票,选择率73.98%（637/861）,将高偏好优惠形式与核心产品绑定，提升转化和复游。,0-2个月,品牌营销中心,优惠活动核销率>=20%,预算审批+跨部门协同,建议落地行动矩阵 + 问题-证据-建议对照表,,,,,,,,,,,,
9,表7-7_IPA整改行动清单.csv,表7-7_IPA整改行动清单,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P4（后续）,优惠机制偏好集中于：产品/服务折扣券,选择率53.66%（462/861）,将高偏好优惠形式与核心产品绑定，提升转化和复游。,0-2个月,品牌营销中心,优惠活动核销率>=20%,预算审批+跨部门协同,建议落地行动矩阵 + 问题-证据-建议对照表,,,,,,,,,,,,
9,表7-7_IPA整改行动清单.csv,表7-7_IPA整改行动清单,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P4（后续）,优惠机制偏好集中于：餐饮套餐优惠,选择率44.13%（380/861）,将高偏好优惠形式与核心产品绑定，提升转化和复游。,0-2个月,品牌营销中心,优惠活动核销率>=20%,预算审批+跨部门协同,建议落地行动矩阵 + 问题-证据-建议对照表,,,,,,,,,,,,
10,表7-8_游客意见三维汇总.csv,表7-8_游客意见三维汇总,1,,,,,,,,配套设施不完善、指示标识不清晰、价格品质感知落差,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,体验端短板,配套设施不完善（休息区少、卫生间不便、停车位不足等）（68.95%）；指示标识不清晰（找不到景点、体验区等）（62.40%）；美食/文创/保健品价格偏高、品质不符预期（55.25%）,6.1痛点 + IPA Q2象限,,,,,,,,,
10,表7-8_游客意见三维汇总.csv,表7-8_游客意见三维汇总,2,,,,,,,,认为街区缺乏吸引力、兴趣不大（未到访群体）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,认知端壁垒,对中医药文化、非遗项目兴趣不大（57.84%）；认为街区缺乏吸引力（40.20%）,6.1阻碍 + 6.2 MCA维度1,,,,,,,,,
10,表7-8_游客意见三维汇总.csv,表7-8_游客意见三维汇总,3,,,,,,,,新增深度体验内容与优惠组合机制,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,需求端期待,药膳食疗定制服务（73.40%）；中医药主题文化节、展演活动（57.96%）；非遗中药炮制技艺体验课（54.01%）；团购 / 家庭套票（73.98%）；产品/服务折扣券（53.66%）,7.1聚类矩阵 + 7.3 IPA行动清单,,,,,,,,,
11,表7-9_专家意见整合框架.csv,表7-9_专家意见整合框架,1,,,,,,,,,,,,,ready_proxy,,,,,,,,,,,,标杆代理口径（非真实访谈）,,,,,,,,,,,,,,,,,,,,,,,,,专家背景,代理专家组（文旅运营/文化传播/服务管理）基于两份国奖案例结构复核形成共识意见。,与本项目描述统计、MCA、聚类、IPA、SEM结果交叉印证,,,,,,
11,表7-9_专家意见整合框架.csv,表7-9_专家意见整合框架,2,,,,,,,,,,,,,ready_proxy,,,,,,,,,,,,标杆代理口径（非真实访谈）,,,,,,,,,,,,,,,,,,,,,,,,,核心判断,当前高质量发展首要约束为：②环境舒适度与卫生状况、⑨中医药服务专业度，应优先进入季度整改闭环。,对应IPA优先项 + 游客问题证据,,,,,,
11,表7-9_专家意见整合框架.csv,表7-9_专家意见整合框架,3,,,,,,,,,,,,,ready_proxy,,,,,,,,,,,,标杆代理口径（非真实访谈）,,,,,,,,,,,,,,,,,,,,,,,,,机制解释,机制层面显示：H1:S_env -> O_cognition（支持）；H2:S_service -> O_cognition（支持）；H3:S_activity -> O_cognition（支持）。,对应SEM路径 + Logit方向结果,,,,,,
11,表7-9_专家意见整合框架.csv,表7-9_专家意见整合框架,4,,,,,,,,,,,,,ready_proxy,,,,,,,,,,,,标杆代理口径（非真实访谈）,,,,,,,,,,,,,,,,,,,,,,,,,政策建议,建议优先推进：①优先开发该类中医药文旅产品，做小规模A/B试点后扩容。（1-4个月）；优先开发该类中医药文旅产品，做小规模A/B试点后扩容。（1-4个月）；优先开发该类中医药文旅产品，做小规模A/B试点后扩容。（1-4个月）,对应行动矩阵与问题-证据-建议闭环,,,,,,
12,年龄性别分布_频数表.csv,年龄性别分布_频数表,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,18岁以下,18,18,36,4.18%
12,年龄性别分布_频数表.csv,年龄性别分布_频数表,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,18-25岁,159,155,314,36.47%
12,年龄性别分布_频数表.csv,年龄性别分布_频数表,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,26-45岁,141,137,278,32.29%
12,年龄性别分布_频数表.csv,年龄性别分布_频数表,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,46-64岁,75,77,152,17.65%
12,年龄性别分布_频数表.csv,年龄性别分布_频数表,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,65岁及以上,49,32,81,9.41%
