location,old_value,new_value,source_table,calculation_rule
table1_r7_c2,,待补,无（预调查数据缺失）,预调查项保留待补
table1_r7_c3,,待补,无（预调查数据缺失）,预调查项保留待补
table1_r7_c4,,待补,无（预调查数据缺失）,预调查项保留待补
table2_r2_c2,,待补,无（预调查数据缺失）,预调查项保留待补
table2_r3_c2,,待补,无（预调查数据缺失）,预调查项保留待补
table2_r4_c2,,待补,无（预调查数据缺失）,预调查项保留待补
table2_r5_c2,,待补,无（预调查数据缺失）,预调查项保留待补
table3_r2_c2,,3,output/tables/信度分析表.csv + 维度划分,文化体验维度题项数
table3_r2_c3,,0.8077,output/tables/survey_clean.csv重算,文化体验维度 Cronbach alpha(4位小数)
table3_r2_c4,,良好,alpha评级规则,>=0.8良好，>=0.7可接受
table3_r3_c2,,2,output/tables/信度分析表.csv + 维度划分,非遗体验维度题项数
table3_r3_c3,,0.7070,output/tables/survey_clean.csv重算,非遗体验维度 Cronbach alpha(4位小数)
table3_r3_c4,,可接受,alpha评级规则,>=0.8良好，>=0.7可接受
table3_r4_c2,,3,output/tables/信度分析表.csv + 维度划分,产品体验维度题项数
table3_r4_c3,,0.7441,output/tables/survey_clean.csv重算,产品体验维度 Cronbach alpha(4位小数)
table3_r4_c4,,可接受,alpha评级规则,>=0.8良好，>=0.7可接受
table3_r5_c2,,4,output/tables/信度分析表.csv + 维度划分,配套保障维度题项数
table3_r5_c3,,0.8273,output/tables/survey_clean.csv重算,配套保障维度 Cronbach alpha(4位小数)
table3_r5_c4,,良好,alpha评级规则,>=0.8良好，>=0.7可接受
table3_r6_c2,,3,output/tables/信度分析表.csv + 维度划分,宣传策略维度题项数
table3_r6_c3,,0.7877,output/tables/survey_clean.csv重算,宣传策略维度 Cronbach alpha(4位小数)
table3_r6_c4,,可接受,alpha评级规则,>=0.8良好，>=0.7可接受
table3_r7_c2,,13,output/tables/信度分析表.csv + 维度划分,整体量表题项数
table3_r7_c3,,0.8243,output/tables/survey_clean.csv重算,整体量表 Cronbach alpha(4位小数)
table3_r7_c4,,良好,alpha评级规则,>=0.8良好，>=0.7可接受
table4_r2_c2,,0.9382,output/tables/效度分析表.csv,KMO（KMO4位/卡方3位）
table4_r3_c2,,14747.692,output/tables/效度分析表.csv,Bartlett球形检验近似卡方（KMO4位/卡方3位）
table4_r4_c2,,666,output/tables/效度分析表.csv,自由度df（KMO4位/卡方3位）
table4_r5_c2,,<0.001,output/tables/效度分析表.csv,显著性p（KMO4位/卡方3位）
table5_r2_c1,文化程度,文化程度,结构表口径,分组标题/留空控制
table5_r2_c2,初中及以下,初中及以下,output/tables/单选题频数百分比表.csv,属性名修订
table5_r2_c3,332,69,output/tables/单选题频数百分比表.csv,人数
table5_r2_c4,63.12%,8.49%,output/tables/单选题频数百分比表.csv,比例(2位小数)
table5_r2_c5,100%,100%,分组总计,组首行为100%，其余留空
table5_r3_c1,,,结构表口径,分组标题/留空控制
table5_r3_c2,中专/高中,中专/高中,output/tables/单选题频数百分比表.csv,属性名修订
table5_r3_c3,181,95,output/tables/单选题频数百分比表.csv,人数
table5_r3_c4,34.41%,11.69%,output/tables/单选题频数百分比表.csv,比例(2位小数)
table5_r3_c5,,,分组总计,组首行为100%，其余留空
table5_r4_c1,,,结构表口径,分组标题/留空控制
table5_r4_c2,大专,大专,output/tables/单选题频数百分比表.csv,属性名修订
table5_r4_c3,13,203,output/tables/单选题频数百分比表.csv,人数
table5_r4_c4,2.47%,24.97%,output/tables/单选题频数百分比表.csv,比例(2位小数)
table5_r4_c5,,,分组总计,组首行为100%，其余留空
table5_r5_c1,,,结构表口径,分组标题/留空控制
table5_r5_c2,本科,本科,output/tables/单选题频数百分比表.csv,属性名修订
table5_r5_c3,,285,output/tables/单选题频数百分比表.csv,人数
table5_r5_c4,,35.06%,output/tables/单选题频数百分比表.csv,比例(2位小数)
table5_r5_c5,,,分组总计,组首行为100%，其余留空
table5_r6_c1,,,结构表口径,分组标题/留空控制
table5_r6_c2,硕士及以上,硕士及以上,output/tables/单选题频数百分比表.csv,属性名修订
table5_r6_c3,,161,output/tables/单选题频数百分比表.csv,人数
table5_r6_c4,,19.80%,output/tables/单选题频数百分比表.csv,比例(2位小数)
table5_r6_c5,,,分组总计,组首行为100%，其余留空
table5_r7_c1,职业,职业,结构表口径,分组标题/留空控制
table5_r7_c2,学生,学生,output/tables/单选题频数百分比表.csv,属性名修订
table5_r7_c3,56,0,output/tables/单选题频数百分比表.csv,人数
table5_r7_c4,10.65%,0.00%,output/tables/单选题频数百分比表.csv,比例(2位小数)
table5_r7_c5,100%,100%,分组总计,组首行为100%，其余留空
table5_r8_c1,,,结构表口径,分组标题/留空控制
table5_r8_c2,企业/公司职员,企业/公司职员,output/tables/单选题频数百分比表.csv,属性名修订
table5_r8_c3,260,335,output/tables/单选题频数百分比表.csv,人数
table5_r8_c4,49.43%,41.21%,output/tables/单选题频数百分比表.csv,比例(2位小数)
table5_r8_c5,,,分组总计,组首行为100%，其余留空
table5_r9_c1,,,结构表口径,分组标题/留空控制
table5_r9_c2,事业单位人员/公务员,事业单位人员/公务员,output/tables/单选题频数百分比表.csv,属性名修订
table5_r9_c3,28,82,output/tables/单选题频数百分比表.csv,人数
table5_r9_c4,5.32%,10.09%,output/tables/单选题频数百分比表.csv,比例(2位小数)
table5_r9_c5,,,分组总计,组首行为100%，其余留空
table5_r10_c1,,,结构表口径,分组标题/留空控制
table5_r10_c2,自由职业者,自由职业者,output/tables/单选题频数百分比表.csv,属性名修订
table5_r10_c3,24,156,output/tables/单选题频数百分比表.csv,人数
table5_r10_c4,4.56%,19.19%,output/tables/单选题频数百分比表.csv,比例(2位小数)
table5_r10_c5,,,分组总计,组首行为100%，其余留空
table5_r11_c1,,,结构表口径,分组标题/留空控制
table5_r11_c2,个体经营者,个体经营者,output/tables/单选题频数百分比表.csv,属性名修订
table5_r11_c3,46,111,output/tables/单选题频数百分比表.csv,人数
table5_r11_c4,8.75%,13.65%,output/tables/单选题频数百分比表.csv,比例(2位小数)
table5_r11_c5,,,分组总计,组首行为100%，其余留空
table5_r12_c1,,,结构表口径,分组标题/留空控制
table5_r12_c2,服务业从业者,服务业从业者,output/tables/单选题频数百分比表.csv,属性名修订
table5_r12_c3,37,89,output/tables/单选题频数百分比表.csv,人数
table5_r12_c4,7.03%,10.95%,output/tables/单选题频数百分比表.csv,比例(2位小数)
table5_r12_c5,,,分组总计,组首行为100%，其余留空
table5_r13_c1,,,结构表口径,分组标题/留空控制
table5_r13_c2,离退休人员,离退休人员,output/tables/单选题频数百分比表.csv,属性名修订
table5_r13_c3,23,0,output/tables/单选题频数百分比表.csv,人数
table5_r13_c4,4.37%,0.00%,output/tables/单选题频数百分比表.csv,比例(2位小数)
table5_r13_c5,,,分组总计,组首行为100%，其余留空
table5_r14_c1,,,结构表口径,分组标题/留空控制
table5_r14_c2,其他,其他,output/tables/单选题频数百分比表.csv,属性名修订
table5_r14_c3,27,40,output/tables/单选题频数百分比表.csv,人数
table5_r14_c4,5.13%,4.92%,output/tables/单选题频数百分比表.csv,比例(2位小数)
table5_r14_c5,,,分组总计,组首行为100%，其余留空
table5_r15_c1,月收入,月收入,结构表口径,分组标题/留空控制
table5_r15_c2,3000元以下,3000元以下,output/tables/单选题频数百分比表.csv,属性名修订
table5_r15_c3,28,86,output/tables/单选题频数百分比表.csv,人数
table5_r15_c4,5.32%,10.58%,output/tables/单选题频数百分比表.csv,比例(2位小数)
table5_r15_c5,100%,100%,分组总计,组首行为100%，其余留空
table5_r16_c1,,,结构表口径,分组标题/留空控制
table5_r16_c2,3001-5000元,3001-5000元,output/tables/单选题频数百分比表.csv,属性名修订
table5_r16_c3,,230,output/tables/单选题频数百分比表.csv,人数
table5_r16_c4,,28.29%,output/tables/单选题频数百分比表.csv,比例(2位小数)
table5_r16_c5,,,分组总计,组首行为100%，其余留空
table5_r17_c1,,,结构表口径,分组标题/留空控制
table5_r17_c2,5001-8000元,5001-8000元,output/tables/单选题频数百分比表.csv,属性名修订
table5_r17_c3,25,309,output/tables/单选题频数百分比表.csv,人数
table5_r17_c4,4.75%,38.01%,output/tables/单选题频数百分比表.csv,比例(2位小数)
table5_r17_c5,,,分组总计,组首行为100%，其余留空
table5_r18_c1,,,结构表口径,分组标题/留空控制
table5_r18_c2,8001-15000元,8001-15000元,output/tables/单选题频数百分比表.csv,属性名修订
table5_r18_c3,24,151,output/tables/单选题频数百分比表.csv,人数
table5_r18_c4,4.56%,18.57%,output/tables/单选题频数百分比表.csv,比例(2位小数)
table5_r18_c5,,,分组总计,组首行为100%，其余留空
table5_r19_c1,,,结构表口径,分组标题/留空控制
table5_r19_c2,15000元以上,15000元以上,output/tables/单选题频数百分比表.csv,属性名修订
table5_r19_c3,95,37,output/tables/单选题频数百分比表.csv,人数
table5_r19_c4,18.06%,4.55%,output/tables/单选题频数百分比表.csv,比例(2位小数)
table5_r19_c5,,,分组总计,组首行为100%，其余留空
table5_r20_c1,有效填写人次,有效填写人次,统一813口径,固定标签
table5_r20_c2,526,813,output/tables/survey_clean.csv,有效样本总数
