respondent_id,quality_profile,duration_lt90_flag,severe_straightline_flag,attention_conditional_flag,logic_branch_flag,key_missing_flag,open_gibberish_flag,duplicate_flag,invalid_union_flag,duration_sec,q8_text,q14_text,q15_text,attention_text,ip,open_text
49,balanced_v20260221,0,0,1,0,0,0,0,1,92.0,否,(跳过),不够了解街区特色 / 首次听说,同意,111.183.92.23(湖北-武汉),无
51,balanced_v20260221,1,1,1,0,0,0,0,1,68.0,否,(跳过),不够了解街区特色 / 首次听说┋没有合适的时间,完全同意,39.177.130.95(江西-赣州),无
54,balanced_v20260221,1,1,1,0,0,0,0,1,84.0,否,(跳过),不够了解街区特色 / 首次听说,不一定,112.0.180.19(江苏-南通),无
57,balanced_v20260221,1,1,1,0,0,0,0,1,65.0,否,(跳过),不够了解街区特色 / 首次听说,完全同意,223.104.196.3(山东-济宁),无
59,balanced_v20260221,0,1,1,0,0,0,0,1,135.0,否,(跳过),消费预算考虑┋已有替代目的地,不一定,27.27.25.154(湖北-襄阳),无
61,balanced_v20260221,1,1,1,0,0,0,0,1,69.0,否,(跳过),不够了解街区特色 / 首次听说┋对中医药文化、非遗项目兴趣不大┋距离较远、交通不便┋没有合适的时间┋认为街区缺乏吸引力┋消费预算考虑┋已有替代目的地┋担心体验感不佳（如项目单一、服务差等）,不一定,117.165.215.147(江西-吉安),无
62,balanced_v20260221,1,1,1,0,0,0,0,1,78.0,是,无（未遇到任何问题）,(跳过),完全同意,122.189.90.66(湖北-荆州),无
63,balanced_v20260221,0,1,1,0,0,0,0,1,119.0,否,(跳过),不够了解街区特色 / 首次听说,不一定,117.189.17.50(贵州-贵阳),无
65,balanced_v20260221,0,0,1,0,0,0,0,1,100.0,否,(跳过),已有替代目的地,不一定,111.181.86.138(湖北-武汉),无
70,balanced_v20260221,0,1,1,0,0,0,0,1,501.0,否,(跳过),不够了解街区特色 / 首次听说,同意,43.227.137.40(湖北-武汉),实效最重要
72,balanced_v20260221,1,1,1,0,0,0,0,1,81.0,是,无（未遇到任何问题）,(跳过),同意,27.18.40.155(湖北-武汉),价格可以更实惠
73,balanced_v20260221,0,1,1,0,0,0,0,1,96.0,是,无（未遇到任何问题）,(跳过),同意,39.144.170.40(江西-萍乡),无
76,balanced_v20260221,0,1,0,0,0,0,0,1,261.0,否,(跳过),不够了解街区特色 / 首次听说┋对中医药文化、非遗项目兴趣不大,完全不同意,180.98.33.249(江苏-苏州),无
77,balanced_v20260221,1,1,1,0,0,0,0,1,75.0,否,(跳过),不够了解街区特色 / 首次听说,同意,183.161.80.209(安徽-蚌埠),无
78,balanced_v20260221,1,1,1,0,0,0,0,1,59.0,否,(跳过),距离较远、交通不便,不一定,118.77.230.236(山西-吕梁),好的
80,balanced_v20260221,0,0,1,0,0,0,0,1,90.0,否,(跳过),不够了解街区特色 / 首次听说,同意,111.60.189.76(湖北-荆州),否
82,balanced_v20260221,0,0,1,0,0,0,0,1,109.0,否,(跳过),不够了解街区特色 / 首次听说┋没有合适的时间┋认为街区缺乏吸引力,同意,39.144.230.110(贵州-黔西南),希望更物美价廉一点
85,balanced_v20260221,0,1,0,0,0,0,0,1,93.0,否,(跳过),不够了解街区特色 / 首次听说┋对中医药文化、非遗项目兴趣不大,完全不同意,153.119.35.172(山东-滨州),无
86,balanced_v20260221,0,1,1,0,0,0,0,1,91.0,否,(跳过),不够了解街区特色 / 首次听说┋对中医药文化、非遗项目兴趣不大┋距离较远、交通不便┋没有合适的时间,完全同意,119.98.170.239(湖北-武汉),无
87,balanced_v20260221,1,1,1,0,0,0,0,1,89.0,否,(跳过),不够了解街区特色 / 首次听说┋对中医药文化、非遗项目兴趣不大┋距离较远、交通不便┋没有合适的时间,同意,111.183.145.199(湖北-武汉),无
88,balanced_v20260221,0,1,1,0,0,0,0,1,124.0,否,(跳过),对中医药文化、非遗项目兴趣不大,完全同意,36.63.60.242(安徽-安庆),无
89,balanced_v20260221,0,1,1,0,0,0,0,1,131.0,否,(跳过),不够了解街区特色 / 首次听说,不一定,119.98.166.142(湖北-武汉),无
90,balanced_v20260221,1,0,1,0,0,0,0,1,75.0,否,(跳过),不够了解街区特色 / 首次听说,不同意,123.147.251.174(重庆-重庆),无
92,balanced_v20260221,0,1,1,0,0,0,0,1,159.0,否,(跳过),对中医药文化、非遗项目兴趣不大,完全同意,183.160.90.253(安徽-合肥),无
94,balanced_v20260221,1,1,1,0,0,0,0,1,73.0,否,(跳过),不够了解街区特色 / 首次听说,完全同意,117.151.120.95(湖北-武汉),无
97,balanced_v20260221,0,1,1,0,0,0,0,1,110.0,否,(跳过),不够了解街区特色 / 首次听说,完全同意,113.194.216.110(江西-南昌),无
100,balanced_v20260221,1,0,1,0,0,0,0,1,76.0,否,(跳过),距离较远、交通不便┋没有合适的时间,同意,117.36.145.75(陕西-宝鸡),无
102,balanced_v20260221,1,1,1,0,0,0,0,1,82.0,是,无（未遇到任何问题）┋其他,(跳过),完全同意,119.98.7.10(湖北-武汉),无
103,balanced_v20260221,1,1,1,0,0,0,0,1,56.0,是,无（未遇到任何问题）,(跳过),完全同意,119.98.62.144(湖北-武汉),无
104,balanced_v20260221,0,1,1,0,0,0,0,1,1147.0,否,(跳过),不够了解街区特色 / 首次听说,同意,111.181.14.2(湖北-武汉),无
107,balanced_v20260221,0,1,1,0,0,0,0,1,121.0,是,无（未遇到任何问题）,(跳过),完全同意,117.151.120.19(湖北-武汉),无
108,balanced_v20260221,1,1,1,0,0,0,0,1,69.0,否,(跳过),不够了解街区特色 / 首次听说┋对中医药文化、非遗项目兴趣不大┋距离较远、交通不便┋没有合适的时间┋认为街区缺乏吸引力┋消费预算考虑,不一定,120.242.31.144(安徽-滁州),无
110,balanced_v20260221,0,1,1,0,0,0,0,1,120.0,否,(跳过),不够了解街区特色 / 首次听说,不一定,171.41.73.142(湖北-黄冈),透明包装
111,balanced_v20260221,0,0,1,0,0,0,0,1,114.0,否,(跳过),对中医药文化、非遗项目兴趣不大┋距离较远、交通不便┋认为街区缺乏吸引力,完全同意,220.195.77.112(内蒙古-呼和浩特),无
115,balanced_v20260221,1,0,1,0,0,0,0,1,52.0,是,无（未遇到任何问题）,(跳过),不一定,111.183.9.140(湖北-黄冈),没有
121,balanced_v20260221,1,1,0,0,0,1,0,1,82.0,否,(跳过),不够了解街区特色 / 首次听说,完全不同意,113.195.48.191(江西-九江),111
122,balanced_v20260221,0,1,1,0,0,0,0,1,187.0,否,(跳过),不够了解街区特色 / 首次听说,同意,59.173.196.169(湖北-武汉),无
125,balanced_v20260221,1,0,1,0,0,0,0,1,85.0,否,(跳过),不够了解街区特色 / 首次听说,不一定,60.169.1.149(安徽-芜湖),无
126,balanced_v20260221,1,1,1,0,0,0,0,1,68.0,否,(跳过),没有合适的时间,不同意,117.144.78.101(上海-上海),无
128,balanced_v20260221,0,0,1,0,0,0,0,1,101.0,否,(跳过),距离较远、交通不便┋没有合适的时间,不一定,183.95.251.90(湖北-武汉),无
129,balanced_v20260221,0,1,0,0,0,1,0,1,125.0,否,(跳过),不够了解街区特色 / 首次听说,完全不同意,58.47.77.37(湖南-常德),1
130,balanced_v20260221,0,0,1,0,0,0,0,1,117.0,否,(跳过),不够了解街区特色 / 首次听说,同意,223.155.61.200(湖南-邵阳),无
132,balanced_v20260221,1,1,0,0,0,0,0,1,56.0,是,无（未遇到任何问题）┋非遗体验项目排队时间过长、体验感不佳,(跳过),完全不同意,112.224.205.59(山东-潍坊),无
133,balanced_v20260221,0,1,1,0,0,1,0,1,111.0,否,(跳过),不够了解街区特色 / 首次听说,不一定,171.112.244.18(湖北-天门),。
134,balanced_v20260221,1,1,1,0,0,0,0,1,75.0,是,无（未遇到任何问题）,(跳过),同意,223.160.127.250(河南-郑州),无
137,balanced_v20260221,0,1,1,0,0,0,0,1,216.0,否,(跳过),不够了解街区特色 / 首次听说┋没有合适的时间,不一定,36.63.25.68(安徽-安庆),无
140,balanced_v20260221,0,1,1,0,0,0,0,1,125.0,否,(跳过),不够了解街区特色 / 首次听说,完全同意,117.152.165.227(湖北-孝感),无
141,balanced_v20260221,0,1,1,0,0,0,0,1,5058.0,否,(跳过),不够了解街区特色 / 首次听说┋对中医药文化、非遗项目兴趣不大┋没有合适的时间,同意,223.104.88.23(广东-广州),无
143,balanced_v20260221,0,1,1,0,0,0,0,1,124.0,是,非遗体验项目排队时间过长、体验感不佳,(跳过),同意,171.82.109.72(湖北-武汉),无
144,balanced_v20260221,0,1,1,0,0,0,0,1,108.0,否,(跳过),不够了解街区特色 / 首次听说┋对中医药文化、非遗项目兴趣不大,同意,223.104.122.233(湖北-武汉),无
147,balanced_v20260221,0,1,1,0,0,0,0,1,205.0,否,(跳过),对中医药文化、非遗项目兴趣不大,不一定,171.106.170.161(广西-南宁),无
148,balanced_v20260221,0,1,1,0,0,0,0,1,235.0,否,(跳过),其他〖清元素争议还是比较大的哦〗,不一定,113.84.67.14(广东-深圳),没有
