col_idx,var_code,item_text,question_block,item_type,model_use,missing_rule
19,C019,购买中医药文创、保健品及药食同源产品,到访动机（多选）,多选/二元,描述统计；聚类,空值/异常编码记缺失
20,C020,慕名而来（叶开泰品牌吸引力）,到访动机（多选）,多选/二元,描述统计；聚类,空值/异常编码记缺失
21,C021,体验中医健康调理服务,到访动机（多选）,多选/二元,描述统计；聚类,空值/异常编码记缺失
22,C022,陪同家人 / 朋友,到访动机（多选）,多选/二元,描述统计；聚类,空值/异常编码记缺失
23,C023,其他,到访动机（多选）,多选/二元,描述统计；聚类,空值/异常编码记缺失
24,C024,11. 您在街区的停留时长大约是?（单选）,停留时长,单选,描述统计；交叉分析,空值/异常编码记缺失
25,C025,12. 您本次在街区的消费金额大约是?（单选）,消费金额,单选,描述统计；交叉分析,空值/异常编码记缺失
26,C026,中医药诊疗/理疗服务,体验/消费项目（多选）,多选/二元,描述统计,空值/异常编码记缺失
27,C027,中医药文化参观/研学,体验/消费项目（多选）,多选/二元,描述统计,空值/异常编码记缺失
28,C028,药膳/养生餐体验,体验/消费项目（多选）,多选/二元,描述统计,空值/异常编码记缺失
29,C029,药食同源产品购买（如黑芝麻丸、养生茶饮等）,体验/消费项目（多选）,多选/二元,描述统计,空值/异常编码记缺失
30,C030,中药材/文创产品购买,体验/消费项目（多选）,多选/二元,描述统计,空值/异常编码记缺失
31,C031,主题活动/课程参与（如八段锦、太极拳、香囊制作等）,体验/消费项目（多选）,多选/二元,描述统计,空值/异常编码记缺失
32,C032,其他,体验/消费项目（多选）,多选/二元,描述统计,空值/异常编码记缺失
33,C033,无（未遇到任何问题）,到访问题感知（分支多选）,多选/二元,描述统计,-3为结构缺失（Q8分支不适用）
34,C034,非遗体验项目排队时间过长、体验感不佳,到访问题感知（分支多选）,多选/二元,描述统计,-3为结构缺失（Q8分支不适用）
35,C035,工作人员专业度不足（不熟悉中医药知识、服务态度一般）,到访问题感知（分支多选）,多选/二元,描述统计,-3为结构缺失（Q8分支不适用）
36,C036,配套设施不完善（休息区少、卫生间不便、停车位不足等）,到访问题感知（分支多选）,多选/二元,描述统计,-3为结构缺失（Q8分支不适用）
37,C037,中医药文化展示/讲解不够详细、缺乏吸引力,到访问题感知（分支多选）,多选/二元,描述统计,-3为结构缺失（Q8分支不适用）
38,C038,美食/文创/保健品价格偏高、品质不符预期,到访问题感知（分支多选）,多选/二元,描述统计,-3为结构缺失（Q8分支不适用）
39,C039,街区环境整洁度不足、卫生状况有待改善,到访问题感知（分支多选）,多选/二元,描述统计,-3为结构缺失（Q8分支不适用）
40,C040,指示标识不清晰（找不到景点、体验区等）,到访问题感知（分支多选）,多选/二元,描述统计,-3为结构缺失（Q8分支不适用）
41,C041,交通不便,到访问题感知（分支多选）,多选/二元,描述统计,-3为结构缺失（Q8分支不适用）
42,C042,其他,到访问题感知（分支多选）,多选/二元,描述统计,-3为结构缺失（Q8分支不适用）
43,C043,不够了解街区特色 / 首次听说,未到访原因（分支多选）,多选/二元,描述统计,-3为结构缺失（Q8分支不适用）
44,C044,对中医药文化、非遗项目兴趣不大,未到访原因（分支多选）,多选/二元,描述统计,-3为结构缺失（Q8分支不适用）
45,C045,距离较远、交通不便,未到访原因（分支多选）,多选/二元,描述统计,-3为结构缺失（Q8分支不适用）
46,C046,没有合适的时间,未到访原因（分支多选）,多选/二元,描述统计,-3为结构缺失（Q8分支不适用）
47,C047,认为街区缺乏吸引力,未到访原因（分支多选）,多选/二元,描述统计,-3为结构缺失（Q8分支不适用）
48,C048,消费预算考虑,未到访原因（分支多选）,多选/二元,描述统计,-3为结构缺失（Q8分支不适用）
49,C049,已有替代目的地,未到访原因（分支多选）,多选/二元,描述统计,-3为结构缺失（Q8分支不适用）
50,C050,担心体验感不佳（如项目单一、服务差等）,未到访原因（分支多选）,多选/二元,描述统计,-3为结构缺失（Q8分支不适用）
51,C051,其他,未到访原因（分支多选）,多选/二元,描述统计,-3为结构缺失（Q8分支不适用）
52,C052,① 中医药文化的专业性与体验深度（艾灸、推拿等）,街区感知评价（Likert）,Likert(1-5),信效度；Logit,空值/异常编码记缺失
53,C053,② 非遗项目的独特性与参与感（如中医养生锤、草本饮品的学习与制作等）,街区感知评价（Likert）,Likert(1-5),信效度；Logit,空值/异常编码记缺失
54,C054,③ 非遗传承人互动体验机会,街区感知评价（Likert）,Likert(1-5),信效度；Logit,空值/异常编码记缺失
55,C055,①体验特色药膳 / 药食同源产品,街区感知评价（Likert）,Likert(1-5),信效度；Logit,空值/异常编码记缺失
56,C056,②产品丰富度与独特性,街区感知评价（Likert）,Likert(1-5),信效度；Logit,空值/异常编码记缺失
57,C057,③消费价格合理性,街区感知评价（Likert）,Likert(1-5),信效度；Logit,空值/异常编码记缺失
58,C058,① 交通便利性与停车便利,街区感知评价（Likert）,Likert(1-5),信效度；Logit,空值/异常编码记缺失
59,C059,② 环境舒适度与文化氛围,街区感知评价（Likert）,Likert(1-5),信效度；Logit,空值/异常编码记缺失
60,C060,③ 配套设施完善度（休息区、卫生间等）,街区感知评价（Likert）,Likert(1-5),信效度；Logit,空值/异常编码记缺失
61,C061,④ 周边配套（购物、其他景点联动）,街区感知评价（Likert）,Likert(1-5),信效度；Logit,空值/异常编码记缺失
62,C062,①宣传推广的真实性（无夸大宣传）,街区感知评价（Likert）,Likert(1-5),信效度；Logit,空值/异常编码记缺失
63,C063,②品牌知名度与口碑,街区感知评价（Likert）,Likert(1-5),信效度；Logit,空值/异常编码记缺失
64,C064,③该题请选择“完全不同意”,街区感知评价（Likert）,Likert(1-5),信效度；Logit；质控-注意力题,空值/异常编码记缺失
65,C065,④小红书/抖音等线上宣传种草,街区感知评价（Likert）,Likert(1-5),信效度；Logit,空值/异常编码记缺失
66,C066,①丰富的中医药文化展示和非遗体验项目,重要度评价（Likert）,Likert(1-5),信效度；IPA-重要度；聚类,空值/异常编码记缺失
67,C067,②环境舒适度与卫生状况,重要度评价（Likert）,Likert(1-5),信效度；IPA-重要度；聚类,空值/异常编码记缺失
68,C068,③便捷的交通、充足的停车位,重要度评价（Likert）,Likert(1-5),信效度；IPA-重要度；聚类,空值/异常编码记缺失
69,C069,④亲友推荐/正面评价多,重要度评价（Likert）,Likert(1-5),信效度；IPA-重要度；聚类,空值/异常编码记缺失
70,C070,⑤特色美食、文创产品的种类及品质,重要度评价（Likert）,Likert(1-5),信效度；IPA-重要度；聚类,空值/异常编码记缺失
71,C071,⑥提供个性化中医体质辨识、养生咨询等服务,重要度评价（Likert）,Likert(1-5),信效度；IPA-重要度；聚类,空值/异常编码记缺失
72,C072,⑦服务专业度与态度,重要度评价（Likert）,Likert(1-5),信效度；IPA-重要度；聚类,空值/异常编码记缺失
73,C073,⑧产品价格与优惠力度,重要度评价（Likert）,Likert(1-5),信效度；IPA-重要度；聚类,空值/异常编码记缺失
74,C074,⑨中医药服务专业度,重要度评价（Likert）,Likert(1-5),信效度；IPA-重要度；聚类,空值/异常编码记缺失
75,C075,⑩线上线下宣传推广,重要度评价（Likert）,Likert(1-5),信效度；IPA-重要度；聚类,空值/异常编码记缺失
76,C076,①丰富的中医药文化展示和非遗体验项目,满意度/表现评价（Likert）,Likert(1-5),信效度；IPA-表现；聚类,空值/异常编码记缺失
77,C077,②环境舒适度与卫生状况,满意度/表现评价（Likert）,Likert(1-5),信效度；IPA-表现；聚类,空值/异常编码记缺失
78,C078,③便捷的交通、充足的停车位,满意度/表现评价（Likert）,Likert(1-5),信效度；IPA-表现；聚类,空值/异常编码记缺失
79,C079,④亲友推荐/正面评价多,满意度/表现评价（Likert）,Likert(1-5),信效度；IPA-表现；聚类,空值/异常编码记缺失
80,C080,⑤特色美食、文创产品的种类及品质,满意度/表现评价（Likert）,Likert(1-5),信效度；IPA-表现；聚类,空值/异常编码记缺失
81,C081,⑥提供个性化中医体质辨识、养生咨询等服务,满意度/表现评价（Likert）,Likert(1-5),信效度；IPA-表现；聚类,空值/异常编码记缺失
82,C082,⑦服务专业度与态度,满意度/表现评价（Likert）,Likert(1-5),信效度；IPA-表现；聚类,空值/异常编码记缺失
83,C083,⑧产品价格与优惠力度,满意度/表现评价（Likert）,Likert(1-5),信效度；IPA-表现；聚类,空值/异常编码记缺失
84,C084,⑨中医药服务专业度,满意度/表现评价（Likert）,Likert(1-5),信效度；IPA-表现；聚类,空值/异常编码记缺失
85,C085,⑩线上线下宣传推广,满意度/表现评价（Likert）,Likert(1-5),信效度；IPA-表现；聚类,空值/异常编码记缺失
86,C086,①我对中医药文化（尤其是叶开泰文化街区所传承与展现的文化内涵）非常感兴趣,文化认知与学习意愿（Likert）,Likert(1-5),信效度；MCA；Logit,空值/异常编码记缺失
87,C087,②在游览叶开泰文化街区前，我对“中医药+文旅”模式非常了解,文化认知与学习意愿（Likert）,Likert(1-5),信效度；MCA；Logit,空值/异常编码记缺失
88,C088,③游览叶开泰文化街区可以提升我对“中医药+文旅”模式的理解,文化认知与学习意愿（Likert）,Likert(1-5),信效度；MCA；Logit,空值/异常编码记缺失
89,C089,④我非常愿意学习和了解中医药文化的相关知识与技艺,文化认知与学习意愿（Likert）,Likert(1-5),信效度；MCA；Logit,空值/异常编码记缺失
90,C090,20. 若有机会，您是否愿意前往叶开泰中医药文化街区游览?（单选）,到访意愿,单选,描述统计；交叉分析,空值/异常编码记缺失
91,C091,21. 您是否会向亲友推荐叶开泰中医药文化街区?（单选）,推荐意愿,单选,描述统计；交叉分析,空值/异常编码记缺失
92,C092,中医药主题沉浸式研学营,新增项目偏好（多选）,多选/二元,描述统计；聚类,空值/异常编码记缺失
93,C093,时令节气养生体验活动,新增项目偏好（多选）,多选/二元,描述统计；聚类,空值/异常编码记缺失
94,C094,非遗中药炮制技艺体验课,新增项目偏好（多选）,多选/二元,描述统计；聚类,空值/异常编码记缺失
95,C095,药膳食疗定制服务,新增项目偏好（多选）,多选/二元,描述统计；聚类,空值/异常编码记缺失
96,C096,中医药健康管理私人顾问,新增项目偏好（多选）,多选/二元,描述统计；聚类,空值/异常编码记缺失
97,C097,中医药科普互动课堂（如药材辨识、养生讲座）,新增项目偏好（多选）,多选/二元,描述统计；聚类,空值/异常编码记缺失
98,C098,传统功法体验（如八段锦、太极拳深度学习）,新增项目偏好（多选）,多选/二元,描述统计；聚类,空值/异常编码记缺失
99,C099,中医药主题文化节、展演活动,新增项目偏好（多选）,多选/二元,描述统计；聚类,空值/异常编码记缺失
100,C100,其他,新增项目偏好（多选）,多选/二元,描述统计；聚类,空值/异常编码记缺失
101,C101,产品/服务折扣券,优惠活动偏好（多选）,多选/二元,描述统计；聚类,空值/异常编码记缺失
102,C102,餐饮套餐优惠,优惠活动偏好（多选）,多选/二元,描述统计；聚类,空值/异常编码记缺失
103,C103,会员积分 / 储值福利,优惠活动偏好（多选）,多选/二元,描述统计；聚类,空值/异常编码记缺失
104,C104,节假日限定活动,优惠活动偏好（多选）,多选/二元,描述统计；聚类,空值/异常编码记缺失
105,C105,联名周边 / 伴手礼赠送,优惠活动偏好（多选）,多选/二元,描述统计；聚类,空值/异常编码记缺失
106,C106,团购 / 家庭套票,优惠活动偏好（多选）,多选/二元,描述统计；聚类,空值/异常编码记缺失
107,C107,其他,优惠活动偏好（多选）,多选/二元,描述统计；聚类,空值/异常编码记缺失
108,C108,24. 关于叶开泰“药食同源”产品（如黑芝麻丸、养生茶饮、膏方等），您有哪些看法和建议?（如口感、包装、价格、购买意愿等）,开放题,文本,仅记录(本批次无有效文本),文本题；本批数据均为“无”
